TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2013-14 Los Angeles Lakers,0.329,103.0,45.0,75.7,-6.3
2013-14 Memphis Grizzlies,0.61,96.1,46.4,74.1,1.6
2013-14 Miami Heat,0.659,102.2,50.1,76.0,4.8
2013-14 Milwaukee Bucks,0.183,95.5,43.8,74.7,-8.2
2013-14 Minnesota Timberwolves,0.488,106.9,44.4,77.8,2.7
2013-14 New Orleans Pelicans,0.415,99.7,45.9,76.9,-2.7
2013-14 New York Knicks,0.451,98.6,44.9,76.1,-0.8
2013-14 Oklahoma City Thunder,0.72,106.2,47.1,80.6,6.3
2013-14 Orlando Magic,0.28,96.5,44.5,76.3,-5.4
2013-14 Philadelphia 76ers,0.232,99.5,43.5,71.0,-10.5
2013-14 Phoenix Suns,0.585,105.2,46.3,75.8,2.6
2013-14 Portland Trail Blazers,0.659,106.7,45.0,81.5,4.0
2013-14 Sacramento Kings,0.341,100.5,44.7,75.9,-2.9
2013-14 San Antonio Spurs,0.7559999999999999,105.4,48.6,78.5,7.7
2013-14 Toronto Raptors,0.585,101.3,44.5,78.2,3.2
2013-14 Utah Jazz,0.305,95.0,44.4,74.7,-7.2
2013-14 Washington Wizards,0.537,100.7,45.9,73.1,1.3
2012-13 Atlanta Hawks,0.537,98.0,46.4,71.5,0.4
2012-13 Boston Celtics,0.506,96.5,46.5,77.6,-0.2
2012-13 Brooklyn Nets,0.598,96.9,45.0,73.1,1.8
2012-13 Charlotte Bobcats,0.256,93.4,42.5,75.0,-9.2
2012-13 Chicago Bulls,0.5489999999999999,93.2,43.7,77.3,0.3
2012-13 Cleveland Cavaliers,0.293,96.5,43.4,75.6,-4.7
2012-13 Dallas Mavericks,0.5,101.1,46.2,79.3,-0.6
2012-13 Denver Nuggets,0.695,106.1,47.8,70.1,5.1
2012-13 Detroit Pistons,0.354,94.9,44.9,69.9,-4.0
2012-13 Golden State Warriors,0.573,101.2,45.8,79.0,0.9
2012-13 Houston Rockets,0.5489999999999999,106.0,46.1,75.4,3.5
2012-13 Indiana Pacers,0.605,94.7,43.6,74.6,4.0
2012-13 Los Angeles Clippers,0.6829999999999999,101.1,47.8,71.1,6.5
2012-13 Los Angeles Lakers,0.5489999999999999,102.2,45.8,69.2,1.2
2012-13 Memphis Grizzlies,0.6829999999999999,93.4,44.4,77.3,4.1
2012-13 Miami Heat,0.805,102.9,49.6,75.4,7.9
2012-13 Milwaukee Bucks,0.463,98.9,43.5,73.6,-1.5
2012-13 Minnesota Timberwolves,0.378,95.7,43.9,74.2,-2.4
2012-13 New Orleans Hornets,0.329,94.1,44.8,77.6,-3.9
